dishID,dishname,prep_time,ingre_list,num_servings,nutri_guide,skills_needed,age_range,meal_type
0001,Lugaw at Tokwa,45,"2 tbsp cooking oil, ½ pc onions, chopped, 3 cloves garlic, chopped, 1 tbsp ginger, sliced, 1 pc Knorr Pork Cube, Â½ cup malagkit rice, 1Â½ cup water, pinch black pepper, 1 pc tokwa",4-5,"Calories: 120, Protein: 3g, Carbohydrates: 20g, Fats: 4g",Intermediate,"Kids, Teens, Adults, Elders",Soup
0002,Chicken Adobo Recipe,45,"2 tbsp canola oil, 6 cloves garlic crushed, 1 pc onion, sliced, 1 kilogram chicken cut ups, 2 tbsp vinegar, 1/4 cup soy sauce, 1 cup water, 2 pcs bay leaves, 1 tsp whole black peppercorns, slightly crushed, 2 pc Knorr chicken cubes, 1 tsp brown sugar packed, Option: 1 cup kale or spinach",04-May,"Calories: 200, Protein: 15g, Carbohydrates: 5g, Fats: 10g",Intermediate,"Kids, Teens, Adults, Elders",Chicken recipe
0003,Tortang Talong,20,"4 pcs eggplant, boiled and peeled, 2 pcs egg, scrambled, 1 pc Knorr chicken cube, crushed",04-May,"Calories: 80, Protein: 4g, Carbohydrates: 6g, Fats: 3g",Beginner,"Kids, Teens, Adults, Elders",Vegetable Dishes
0004,Chicken Appetizer,15,"15 pcs pandesal, 2 pcs scrambled egg (cooked and sliced), 1 pack (80 ml) Lady's Choice Chicken spread, 2 pcs tomatoes (thinly sliced)",04-May,"Calories: 250, Protein: 8g, Carbohydrates: 35g, Fats: 10g",Beginner,"Kids, Teens, Adults, Elders",Appetizer
0005,Egg Appetizer,15,"2 pcs hard-boiled egg, 1 pack Lady's Choice Real Mayonnaise (80ml), 15 pcs pandesal, salt and pepper",04-May,"Calories: 220, Protein: 7g, Carbohydrates: 30g, Fats: 9g",Beginner,"Kids, Teens, Adults, Elders",Appetizer
0006,Hotdog Fried Rice Recipe,20,"2 tbsp cooking oil, 2 pcs hotdog (chopped into squares), 1 pc carrot (chopped into small pieces), ½ cup green peas, 2 pcs egg (beaten), 1 pc Knorr Chicken Broth Cube, 4 cups rice (cooked)",04-May,"Calories: 300, Protein: 10g, Carbohydrates: 45g, Fats: 12g",Beginner,"Kids, Teens, Adults, Elders",Appetizer
0007,Cheese Bacon Pandesal,15,"3 pcs scrambled egg (cooked), 15 pcs pandesal, 1 pack Lady's Choice Bacon Spread, 1 pack cheese (sliced)",04-May,"Calories: 280, Protein: 10g, Carbohydrates: 30g, Fats: 14g",Beginner,"Kids, Teens, Adults, Elders",Appetizer
0008,Ginisang Ampalaya with Tinapa,20,"1 tbsp cooking oil, 1 pc onion (chopped), 1 clove garlic (chopped), 1 bundle ampalaya leaves, 1 pc tinapa (cooked and deboned), 1 Knorr Chicken Cube, 1 cup water",04-May,"Calories: 90, Protein: 5g, Carbohydrates: 10g, Fats: 3g",Beginner,"Kids, Teens, Adults, Elders",Vegetable Dishes
0009,Malunggay Talong at Tanglad,25,"3 pcs talong (sliced into rounds), 1 pc Knorr Chicken Cube, 1 pc tanglad (puti at dulong parte lamang), 1 cup malunggay leaves, 1 pc fried bangus (sliced), 2 cups water",04-May,"Calories: 100, Protein: 7g, Carbohydrates: 10g, Fats: 4g",Beginner,"Kids, Teens, Adults, Elders",Vegetable Dishes
0010,Ginisang Talong in Oyster Sauce,20,"1 tbsp cooking oil, 1 pc onion (chopped), 1 clove garlic (chopped), 3 small pcs talong (sliced into rounds), 1 sachet oyster sauce (30ml), 1 pc Knorr Pork Cube, 1 cup water",04-May,"Calories: 110, Protein: 4g, Carbohydrates: 12g, Fats: 5g",Beginner,"Kids, Teens, Adults, Elders",Vegetable Dishes
0011,Laswa Recipe,30,"1 pc Knorr Shrimp Cube, 1 cup water, 1 cup kalabasa (peeled and cubed), ½ cup gabi (peeled and cubed), 2 pcs kamatis (seeds removed), 1 stalk malunggay leaves, 1 bundle alugbati leaves, 1 small pc ginger (peeled and sliced thinly), 1 pc red onion (peeled and sliced thinly), 2 stalks leeks (sliced), 2 pcs tanglad (white ends only, pounded), 4-5 pcs okra (medium-sized, cut in half)",04-May,"Calories: 80, Protein: 3g, Carbohydrates: 15g, Fats: 2g",Beginner,"Kids, Teens, Adults, Elders",Vegetable Dishes
0012,Ginisang Pechay with Giniling,25,"1 pc onion (chopped), 1 clove garlic (chopped), 1/4 cup giniling na baboy, 1 Knorr Pork Cube, 2 bundles pechay (sliced), 1 cup water",04-May,"Calories: 100, Protein: 5g, Carbohydrates: 8g, Fats: 4g",Beginner,"Kids, Teens, Adults, Elders","Vegetable Dishes, Meat Recipe"
0013,Tortang Ampalaya,20,"2 small pcs ampalaya (sliced thinly), 1 tbsp cooking oil, 1 Knorr Chicken Cube, 4 pcs egg (scrambled)",04-May,"Calories: 90, Protein: 6g, Carbohydrates: 5g, Fats: 4g",Beginner,"Kids, Teens, Adults, Elders",Vegetable Dishes
0014,Ginisang Pechay at Tuna Recipe,15,"1 tbsp oil, 1 pc onion (chopped), 1 clove garlic (chopped), 1 can tuna (180 g), 1 Knorr Chicken Cube, 1 bundle pechay (sliced), 1 cup water",04-May,"Calories: 120, Protein: 12g, Carbohydrates: 5g, Fats: 6g",Beginner,"Kids, Teens, Adults, Elders","Vegetable Dishes, Seafood Recipe"
0015,Ginisang Repolyo,10,"1 tbsp oil, 1 pc onion (chopped), 1 clove garlic (chopped), 1/2 wedge repolyo (sliced), 1 pc Knorr Chicken Cube, 1 cup water",04-May,"Calories: 80, Protein: 3g, Carbohydrates: 10g, Fats: 3g",Beginner,"Kids, Teens, Adults, Elders",Vegetable Dishes
0016,Upo Guisado Recipe,20,"1 tbsp cooking oil, 1 pc onion chopped, 1 clove garlic chopped, 1 pc medium upo, sliced, 1 Knorr Pork Cube, 1 cup water",04-May,"Calories: 110, Protein: 3g, Carbs: 20g, Fats: 4g",Beginner,"Kids, Teens, Adults, Elders","Vegetable Dishes, "
0017,Odong,25,"1 tbsp cooking oil, 1 pc onion chopped, 1 pc garlic chopped, 1 can sardines (155 g), 1 Knorr Chicken Cube, 2 cups water, 2 packs (40g) odong noodles, 1 bundle pechay sliced",04-May,"Calories: 180, Protein: 10g, Carbs: 25g, Fats: 5g",Beginner,"Kids, Teens, Adults, Elders","Pasta/Noodle, Seafood Recipe"
