userID,family_size,cooking_skills,age_range,meal_preferences,allergies
1,2-3,Beginner,"Adults, Teens, Kids","Soup, Vegetable Dishes","Peanut, Chicken"
2,2-3,Advanced,"Teens, Adults, Elders","Vegetable with Meat, Soup","Egg, Soy, Peanut"
3,4-5,Intermediate,Adults,"Appetizer, Vegetable Dishes","Shellfish, Chicken, Soy, Egg"
4,2-3,Beginner,"Kids, Adults, Elders","Vegetable Dishes, Vegetable with Seafood","Meat, Chicken, Soy, Egg"
5,4-5,Intermediate,"Elders, Teens","Vegetable with Meat, Appetizer",None
6,2-3,Beginner,"Adults, Teens, Kids","Soup, Vegetable Dishes","Peanut, Chicken"
7,4-5,Intermediate,"Adults, Kids","Meat, Vegetable with Seafood","Shellfish, Milk"
8,2-3,Advanced,Adults,"Soup, Appetizer, Dessert",None
9,4-5,Intermediate,"Teens, Kids","Vegetable Dishes, Soup","Dairy, Egg, Milk"
10,2-3,Beginner,"Kids, Teens","Meat, Dessert",Gluten
11,4-5,Advanced,"Adults, Teens","Soup, Meat, Vegetable with Meat",Fish
12,2-3,Intermediate,Adults,"Vegetable Dishes, Appetizer",Soy
13,4-5,Beginner,"Kids, Teens","Dessert, Vegetable with Seafood","Nut, Dairy"
14,2-3,Advanced,Adults,"Meat, Soup","Shellfish, Egg"
15,4-5,Intermediate,"Teens, Adults","Vegetable Dishes, Soup, Dessert","Peanut, Gluten"
16,2-3,Beginner,"Kids, Teens","Appetizer, Dessert",Chicken
17,4-5,Advanced,"Adults, Teens","Meat, Vegetable Dishes","Fish, Soy"
18,2-3,Intermediate,Adults,"Soup, Vegetable with Seafood","Dairy, Nut"
19,4-5,Beginner,"Kids, Adults","Appetizer, Dessert","Gluten, Peanut"
20,2-3,Advanced,"Teens, Adults","Meat, Soup","Shellfish, Egg"
21,4-5,Intermediate,Adults,"Vegetable Dishes, Soup","Soy, Chicken"
22,4-5,Beginner,Kids,"Dessert, Vegetable Dishes",Nut
23,4-5,Advanced,"Teens, Adults","Meat, Appetizer","Fish, Dairy"
24,4-5,Intermediate,"Kids, Teens","Soup, Vegetable with Meat","Egg, Gluten"
25,4-5,Beginner,Adults,"Dessert, Soup","Peanut, Shellfish"
